Region,RefPop
ADANA,210
ADIYAMAN,12
AFYONKARAHISAR,0
AGRI,0
AKSARAY,1
AMASYA,2
ANKARA,1
ANTALYA,0
ARDAHAN,49
ARTVIN,0
AYDIN,0
BALIKESIR,1624
BARTIN,0
BATMAN,6
BAYBURT,0
BILECIK,0
BINGOL,0
BITLIS,1461
BOLU,0
BURDUR,0
BURSA,7
CANAKKALE,0
CANKIRI,1203
CORUM,11
DENIZLI,0
DIYARBAKIR,0
DUZCE,0
EDIRNE,0
ELAZIG,0
ERZINCAN,0
ERZURUM,0
ESKISEHIR,0
GAZIANTEP,30
GIRESUN,0
GUMUSHANE,0
HAKKARI,0
HATAY,19698
IGDIR,0
ISPARTA,0
ISTANBUL,9058
IZMIR,2
KAHRAMANMARAS,512
KARABUK,0
KARAMAN,4216
KARS,36
KASTAMONU,1105
KAYSERI,0
KILIS,19922
KIRIKKALE,0
KIRKLARELI,0
KIRSEHIR,0
KOCAELI,7320
KONYA,20
KUTAHYA,0
MALATYA,0
MANISA,1664
MARDIN,0
MERSIN,3780
MUGLA,0
MUS,1479
NEVSEHIR,0
NIGDE,0
ORDU,0
OSMANIYE,0
RIZE,0
SAKARYA,0
SAMSUN,0
SANLIURFA,20
SIIRT,0
SINOP,0
SIRNAK,0
SIVAS,0
TEKIRDAG,0
TOKAT,0
TRABZON,0
TUNCELI,0
USAK,0
VAN,0
YALOVA,0
YOZGAT,1
ZONGULDAK,0
