adm1_en;Number
Istanbul;542.045
Gaziantep;462.697
Hatay;433.875
Sanliurfa;430.124
Adana;256.435
Mersin;242.753
Bursa;184.298
Izmir;149.807
Konya;123.601
Kilis;107.468
Ankara;100.577
KAHRAMANMARAS;95.938
Mardin;91.793
Kayseri;83.474
Kocaeli;56.604
Osmaniye;42.768
Malatya;32.024
DIYARBAKIR;24.552
Adiyaman;23.204
Batman;16.029
Sakarya;15.744
Sirnak;14.907
Manisa;14.238
Denizli;14.066
NEVSEHIR;13.763
Elazig;13.244
Tekirdag;12.607
Afyonkarahisar;12.531
Mugla;11.688
Burdur;9.078
Bolu;4.512
Bayburt;131
Ardahan;124
Igdir;79
Tunceli;73
Artvin;72
